OBJECTID,DISTRICT,SCHOOLAREA,SHAPE_Length,SHAPE_Area,DISTRICTNAME
83,49-3,6.10358147,63726.6067451009,171410996.971531,DELL RAPIDS
84,49-3,0.94757139,27876.7676996715,26416668.4614348,DELL RAPIDS
85,49-3,0.00841431,1980.72410955404,234576.660609688,DELL RAPIDS
86,49-4,86.96294736,326171.456978348,2423421507.43812,GARRETSON
87,49-4,1.33098674,35717.8880264403,37105632.3623607,GARRETSON
88,43-1,95.6225463,430731.105201182,2665792931.22119,CANISTOTA
89,43-1,0.77199171,26559.2775619741,21521807.5011039,CANISTOTA
90,43-1,0.5869897,18612.040905539,16364268.0605208,CANISTOTA
91,43-1,0.25220882,10607.3926426642,7031150.14569071,CANISTOTA
92,43-1,0.24807945,10532.9198143815,6916030.43673399,CANISTOTA
93,43-1,0.24657243,10493.5632405893,6874017.3237699,CANISTOTA
94,43-1,0.24347773,10422.3465795147,6787742.30788928,CANISTOTA
95,43-1,0.23447649,10233.0376774434,6536803.29146334,CANISTOTA
96,43-1,0.14469309,8399.84033368207,4033795.74458286,CANISTOTA
97,43-1,0.11943557,7830.75936509066,3329659.38061314,CANISTOTA
98,43-1,0.07491086,5835.63701607976,2088386.44650882,CANISTOTA
99,60-3,103.93968355,537579.843943345,2897660482.84372,MARION
100,60-3,0.89700014,28568.6269267043,25006828.756235,MARION
101,60-3,0.86354397,26231.6471443544,24074127.9662718,MARION
102,60-3,0.81427601,23731.7124177963,22700621.5370363,MARION
103,60-3,0.61314639,21358.1083808389,17093471.9299929,MARION
104,60-3,0.53482421,16281.3273437211,14909983.5219085,MARION
105,60-3,0.38897442,13461.5407085328,10843941.023791,MARION
106,60-3,0.3878234,15904.5662805084,10811852.5311854,MARION
107,60-3,0.32831474,13205.4143685328,9152853.07175808,MARION
108,60-3,0.24942392,10556.6039208581,6953511.90928065,MARION
109,60-3,0.24913947,10543.3513540043,6945582.01385979,MARION
110,60-3,0.24586619,10474.3599561306,6854328.56970999,MARION
111,60-3,0.18678249,10389.6046223593,5207176.11708692,MARION
112,60-3,0.12678416,7863.0616959558,3534525.52550612,MARION
113,60-3,0.08463486,7096.19187093166,2359475.0845511,MARION
114,60-3,0.07498703,5771.42106424188,2090510.18870237,MARION
115,60-3,0.07017903,5596.62234939609,1956471.24875512,MARION
116,60-3,0.06030486,5186.68524577468,1681196.21225312,MARION
117,60-3,0.05645327,5022.69570537529,1573820.61516324,MARION
118,43-2,122.11224709,353831.636878711,3404280451.64923,MONTROSE
119,43-2,0.55522182,16566.2875401873,15478633.9821942,MONTROSE
120,43-2,0.52717969,16408.3122508947,14696867.4102525,MONTROSE
121,43-2,0.34887768,12704.0656662617,9726112.74271297,MONTROSE
